|name      |ra        |dec      |app_mag|spect_type|result_parallax|bv_color|ub_color|ri_color|
|Gl 611.1  |16 09 15.6|-71 03 50|  7.22 |G8 V      | 47.9          | 0.72   | 0.31   | 0.35   |
|GJ 2028   |02 56 16.8|-70 21 59| 14.08 |DA6       | 43.0          | 0.23   |-0.59   |        |
|Gl 217.2  |05 44 34.8|-70 09 42|  8.08 |K0 V      | 32.0          | 0.76   | 0.27   | 0.28   |
|NN 3943   |16 13 13.6|-70 08 53| 13.75 |k-m       | 70.0          |        |        | 1.31   |
|Gl 624    |16 28 26.4|-70 05 11|  4.91 |G0 V      | 92.4          | 0.55   | 0.04   | 0.19   |
|NN 4318   |23 14 06.0|-70 03 33|  6.90 |G5 V      | 54.0          |        |        |        |
|NN 3397   |06 32 17.6|-69 57 34| 13.00 |m         | 42.0          |        |        | 1.08   |
|Gl 847B   |22 03 59.5|-69 55 22| 13.70 |m         | 29.0          | 1.61   |        | 1.02   |
|Gl 847A   |22 03 59.5|-69 55 22| 10.97 |m         | 29.0          | 1.38   |        | 0.60   |
|NN 3243   |03 38 11.7|-68 57 24| 11.95 |m         | 61.0          |        |        | 1.04   |
|GJ 1128   |09 42 53.5|-68 54 05| 12.78 |m         |161.0          | 1.73   | 1.22   | 1.42   |
|Gl 55.3A  |01 15 42.8|-68 52 40|  4.99 |F6 IV  J  | 50.7          | 0.47   | 0.02   | 0.26   |
|Gl 55.3B  |01 15 41.9|-68 52 34|  7.20 |G5        | 50.7          |        |        |        |
|GJ 1280   |23 10 20.4|-68 50 36|  8.78 |K4 V      | 44.0          | 1.02   | 0.76   | 0.42   |
|Gl 55.1B  |01 14 57.6|-68 49 15|  8.20 |          | 53.0          |        |        |        |
|Gl 55.1A  |01 14 57.6|-68 49 15|  7.80 |K2 V      | 53.0          | 0.98   | 0.82   | 0.46   |
|Gl 472    |12 33 36.6|-68 45 03|  7.13 |K0 V      | 76.3          | 0.85   | 0.48   | 0.29   |
|Gl 340.1A |09 17 18.5|-68 41 21|  6.13 |F4 V      | 28.0          | 0.42   |-0.04   | 0.25   |
|Gl 340.1B |09 17 18.5|-68 41 21|  6.13 |          | 28.0          |        |        |        |
|Gl 97.1   |02 21 45.3|-68 39 34|  4.08 |A3 Vn     | 48.1          | 0.03   | 0.05   | 0.02   |
|Gl 127.1A |03 10 31.3|-68 35 56| 11.40 |DA3       | 84.9          | 0.05   |-0.55   |        |
|Gl 127.1B |03 10 31.3|-68 35 56| 14.73 |          | 84.9          | 0.62   |        |        |
|GJ 1294B  |00 02 07.2|-68 16 41| 10.60 |          | 60.0          |        |        |        |
|GJ 1294A  |00 02 07.2|-68 16 41|  9.66 |M0 V      | 60.0          | 1.39   | 1.18   | 0.68   |
|GJ 1262   |21 24 39.5|-68 13 47|  6.97 |G5 V      | 48.0          | 0.73   | 1.79   |        |
|GJ 2149   |20 44 16.7|-68 05 09| 13.40 |DA3       | 39.0          | 0.10   |-0.80   |        |
|NN 3018A  |00 15 49.1|-67 59 43| 10.95 |m         | 50.0          |        |        | 0.82   |
|NN 3019B  |00 15 40.3|-67 59 19| 12.50 |m         | 50.0          |        |        | 1.04   |
|Gl 558.1  |14 37 48.7|-67 55 42|  6.04 |F8 V      | 39.0          | 0.50   |-0.02   | 0.16   |
|NN 3422   |06 59 50.9|-67 55 13|  5.17 |K3 III    | 41.1          | 1.40   | 1.65   | 0.52   |
|Gl 3      |00 05 18.8|-67 49 30|  8.48 |K5 V      | 53.0          | 1.06   | 1.03   | 0.42   |
|Gl 293    |07 53 02.1|-67 46 18| 14.08 |DQ9       |144.7          | 0.66   |-0.17   | 0.15   |
|GJ 1279   |23 09 43.6|-67 43 49|  8.39 |K5 V      | 70.0          | 1.20   | 1.14   | 0.50   |
|Wo 9732   |21 20 13.9|-67 39 11| 10.90 |m         | 55.0          | 1.45   |        | 0.83   |
|Gl 54     |01 10 19.4|-67 27 09|  9.80 |k         |120.9          | 1.54   | 1.17   | 1.08   |
|Gl 776    |20 05 25.6|-67 18 39|  6.08 |G2 V      | 53.0          | 0.65   | 0.07   | 0.23   |
|NN 3112   |01 43 00.4|-67 17 08| 13.88 |DA7       | 79.0          | 0.44   |-0.42   | 0.07   |
|NN 4322B  |23 17 14.1|-66 55 54|  9.04 |K5 V      | 43.0          | 1.11   | 1.06   | 0.42   |
|NN 4321A  |23 17 18.0|-66 54 48|  8.73 |K5 V      | 43.0          | 1.05   | 0.96   | 0.39   |
|Gl 85     |02 07 08.4|-66 34 28| 11.52 |m         | 49.0          | 1.53   | 1.08   | 0.88   |
|Gl 756.1  |19 25 11.7|-66 28 24|  8.40 |K5 V      | 43.0          | 1.04   | 0.96   | 0.32   |
|Gl 333.3  |09 02 27.1|-66 23 43|  4.01 |A5 V      | 49.4          | 0.14   | 0.13   | 0.07   |
|NN 3483   |08 06 48.6|-66 17 46| 13.92 |DQ5       | 43.0          | 0.05   |-0.90   |        |
|GJ 2092   |12 26 38.3|-66 12 36| 13.97 |DA/F      | 83.0          | 0.40   |-0.54   |        |
|Gl 780    |20 08 33.2|-66 09 57|  3.56 |G8 V      |175.2          | 0.76   | 0.45   | 0.23   |
|NN 3499   |08 25 44.6|-66 08 06|  3.76 |K2 III    | 39.8          | 1.13   | 1.14   |        |
|NN 3476   |08 02 32.8|-66 01 12|  7.14 |K1 V      | 69.0          | 0.94   |        |        |
|NN 3006   |00 06 10.5|-65 50 48| 12.16 |M4        | 55.0          | 1.55   |        | 1.04   |
|NN 4285   |22 37 54.3|-65 49 00| 11.45 |m         |147.0          |        |        | 1.23   |
|NN 4033   |17 56 23.8|-65 43 03|  6.36 |F8 V      | 29.0          | 0.45   |        |        |
|Gl 31.5   |00 44 37.7|-65 38 23|  6.54 |G3 V      | 49.0          | 0.65   | 0.12   | 0.24   |
|Gl 774B   |20 04 01.2|-65 35 14| 12.82 |m         | 74.6          | 1.56   | 1.01   | 1.11   |
|Gl 774A   |20 04 01.2|-65 35 14| 11.35 |m         | 74.6          | 1.48   | 0.98   | 0.96   |
|NN 4273   |22 21 36.3|-65 30 52| 11.98 |M5        | 53.0          | 1.56   |        | 0.99   |
|Wo 9791   |22 38 24.9|-65 22 53| 14.00 |          | 43.6          |        |        |        |
|Gl 827    |21 26 25.8|-65 22 36|  4.22 |F8 V      |115.5          | 0.49   |-0.12   | 0.20   |
|Gl 865    |22 38 23.0|-65 22 35| 11.48 |k-m       | 89.9          | 1.61   | 1.23   | 1.17   |
|Wo 9206   |06 11 00.4|-65 11 36| 11.35 |k         | 37.0          | 1.46   |        | 0.76   |
|Gl 560B   |14 42 31.6|-64 58 17|  8.47 |K5 V      | 54.2          | 1.15   | 1.24   | 0.42   |
|Gl 560A   |14 42 31.6|-64 58 17|  3.19 |F0 Vp     | 54.2          | 0.24   | 0.11   | 0.02   |
|Gl 17     |00 19 51.1|-64 53 27|  4.22 |F9 V      |139.0          | 0.58   | 0.02   | 0.22   |
|Wo 9134   |03 47 58.1|-64 50 17|  7.85 |G5 V      | 26.0          | 0.66   | 0.17   | 0.22   |
|Gl 440    |11 45 22.0|-64 50 10| 11.50 |DQ6       |218.5          | 0.19   |-0.63   | 0.06   |
|Gl 154.2  |03 44 09.6|-64 48 27|  3.85 |K0 IV     | 43.7          | 1.13   | 1.10   | 0.41   |
|Gl 54.3   |01 14 39.7|-64 45 33|  9.05 |K0 IV/V   | 47.5          | 0.76   | 0.36   | 0.38   |
|Gl 455.2  |12 06 52.1|-64 36 48|  4.15 |F2 III    | 51.6          | 0.34   | 0.02   | 0.20   |
|Gl 639.2  |16 51 46.7|-64 26 16| 11.00 |g         | 51.0          | 0.72   | 0.04   | 0.29   |
|Gl 810B   |20 55 33.0|-14 03 29| 14.55 |          | 78.9          | 1.72   |        | 1.42   |
|Gl 162.1  |04 07 20.4|-64 13 36|  6.38 |G3 V      | 49.0          | 0.64   | 0.10   | 0.22   |
|Wo 9156   |04 25 09.6|-64 05 04|  7.91 |G5 V      | 26.0          | 0.65   | 0.16   |        |
|NN 3663   |11 25 45.9|-63 58 19|  5.17 |F7 V +F7V | 40.9          | 0.50   | 0.02   |        |
|NN 4206   |21 37 53.8|-63 43 29| 10.62 |M2        | 65.0          | 1.44   |        | 0.85   |
|Gl 118    |02 52 15.3|-63 41 16| 11.38 |m         | 81.0          | 1.56   | 1.20   | 1.05   |
|Gl 143    |03 26 56.3|-63 29 44|  8.00 |K5 V      | 59.8          | 1.12   | 1.08   | 0.43   |
|Gl 601A   |15 55 10.0|-63 25 30|  2.84 |F2 IV     | 82.1          | 0.29   | 0.04   | 0.07   |
|Gl 268.2  |07 13 09.5|-63 21 08|  9.10 |K5 V      | 52.3          | 1.25   | 1.22   | 0.53   |
|NN 4293   |22 46 34.8|-63 18 11| 11.40 |M3        | 41.0          | 1.46   |        | 0.81   |
|NN 3141   |02 11 23.9|-63 13 56| 12.25 |m         | 56.0          |        |        | 1.06   |
|NN 3759   |13 01 23.7|-63 11 27| 10.95 |dM2       | 55.0          |        |        | 0.84   |
|NN 4222   |21 49 30.1|-63 07 18| 12.50 |m+        | 53.0          |        |        | 1.08   |
|Gl 224.1  |05 54 05.0|-63 05 51|  4.65 |K1 III/IV | 50.6          | 1.05   | 0.96   | 0.36   |
|NN 3038   |00 32 11.9|-63 05 21|  9.61 |K7        | 34.3          | 1.35   |        | 0.63   |
|Wo 9015A  |00 32 43.6|-63 01 51|  5.75 |A0 V      | 47.8          | 0.04   | 0.02   |        |
|Wo 9015B  |00 32 43.6|-63 01 51|  6.00 |A         | 47.8          |        |        |        |
|Gl 143.2B |03 29 25.9|-62 57 04| 10.75 |m         | 56.9          | 1.42   |        | 0.80   |
|Gl 143.2A |03 29 19.9|-62 56 34|  4.71 |F5 IV-V   | 56.9          | 0.39   |-0.04   | 0.11   |
|Gl 762    |19 34 43.9|-62 50 20| 12.17 |m+        | 60.2          | 1.48   |        | 0.98   |
|Wo 9185   |05 35 48.3|-62 48 25|  9.33 |K5 V      | 38.0          | 1.13   | 1.07   | 0.43   |
|NN 4060   |18 34 06.4|-62 44 42|  9.52 |K7        | 70.0          | 1.45   |        | 0.67   |
|Gl 551    |14 30 10.4|-62 41 26| 11.05 |dM5  e    |771.8          | 1.83   | 1.43   | 1.66   |
|Gl 136    |03 17 36.7|-62 35 06|  5.54 |G2 V      | 93.6          | 0.64   | 0.08   | 0.23   |
|Gl 138    |03 18 02.8|-62 30 55|  5.24 |G1 V      | 87.5          | 0.60   | 0.00   | 0.23   |
|GJ 1218   |17 28 13.3|-62 26 35| 12.68 |m         | 78.0          | 1.48   | 1.10   | 1.22   |
|Gl 412.1  |11 06 32.8|-62 25 26|  4.62 |G8 III    | 53.7          | 1.03   | 0.82   | 0.33   |
|Gl 45     |00 57 12.8|-62 14 47|  9.50 |K7 V      | 59.9          | 1.30   | 1.25   | 0.54   |
|NN 3545   |09 16 33.3|-62 04 54| 12.70 |m         | 59.0          |        |        | 1.14   |
|NN 4079   |18 50 25.2|-62 03 31| 10.72 |M3        | 58.0          | 1.46   |        | 0.82   |
|Gl 705.1  |18 10 26.4|-62 00 19|  5.48 |G3 IV-V   | 51.6          | 0.58   | 0.09   | 0.32   |
|GJ 1282   |23 16 56.2|-62 00 00|  5.66 |F7 V      | 46.0          | 0.51   | 1.61   |        |
|Gl 248    |06 48 12.2|-61 56 40|  3.27 |A7 IV     | 50.9          | 0.21   | 0.13   | 0.14   |
|Gl 428A   |11 24 43.3|-61 38 54|  7.50 |K7 V      | 90.9          | 1.26   | 1.18   | 0.54   |
|Gl 428B   |11 24 43.3|-61 38 54|  8.30 |M0 Ve     | 90.9          |        |        |        |
|NN 4075   |18 48 46.1|-61 36 44| 12.80 |m         | 42.0          |        |        | 1.05   |
|Gl 83     |01 58 44.7|-61 34 15|  2.86 |F0 V      | 39.6          | 0.28   | 0.14   | 0.16   |
|NN 3982   |17 02 16.8|-61 33 55|  8.84 |K3 V      | 40.0          | 1.04   | 0.92   | 0.39   |
|NN 3400A  |06 38 00.3|-61 32 02|  6.34 |G0 V      | 46.0          | 0.62   | 0.12   |        |
