|name      |ra        |dec      |app_mag|spect_type|result_parallax|bv_color|ub_color|ri_color|
|Gl 480.1  |12 40 52.6|-43 34 52| 12.24 |M3.5      | 81.0          | 1.73   | 1.39   | 1.14   |
|Gl 264    |07 03 50.6|-43 34 02|  8.68 |K5 V      | 60.0          | 1.18   | 1.13   | 0.49   |
|Gl 237    |06 31 52.9|-43 32 04| 10.59 |g-k       | 50.0          | 1.48   | 1.23   | 0.73   |
|GJ 1071   |04 34 00.7|-43 31 25|  8.86 |K5 V      | 46.0          | 1.11   | 1.00   | 0.42   |
|Gl 370    |09 51 04.8|-43 29 48|  7.64 |K5 V      |103.2          | 1.18   | 1.12   | 0.50   |
|Gl 707    |18 12 21.0|-43 26 20|  8.37 |K7 Ve     | 68.0          | 1.31   | 1.22   | 0.54   |
|GJ 1088   |06 10 55.6|-43 25 14| 12.32 |M3.5      | 75.0          | 1.59   | 1.26   | 1.16   |
|Gl 825.2  |21 18 26.1|-43 20 03|  6.75 |G5 V      | 43.0          | 0.63   | 0.14   | 0.33   |
|Gl 657    |17 12 09.1|-43 14 05|  3.33 |F0 IVn    | 57.5          | 0.41   | 0.09   | 0.23   |
|Gl 915    |00 02 07.5|-43 09 23| 13.05 |DA5       |128.2          | 0.07   |-0.87   | 0.16   |
|NN 4014   |17 39 01.1|-43 08 34|  7.24 |G5 V      | 39.0          | 0.72   | 0.24   | 0.24   |
|Gl 139    |03 19 41.9|-43 04 48|  4.26 |G5 V      |159.6          | 0.71   | 0.22   | 0.27   |
|Gl 210    |05 38 01.8|-42 58 03|  7.44 |G0 V      | 28.0          | 0.60   | 0.07   | 0.34   |
|Gl 319.1B |08 42 08.5|-42 56 25| 12.68 |M1 :      | 42.0          | 1.52   | 1.52   | 1.00   |
|Gl 319.1A |08 42 08.5|-42 55 43|  8.12 |K1 V      | 42.0          | 0.90   | 0.64   | 0.36   |
|Gl 321.1  |08 44 24.3|-42 38 56|  4.06 |G5 III    | 48.8          | 0.87   | 0.52   |        |
|Gl 321.2  |08 44 45.4|-42 37 51|  7.21 |G5 V      | 40.0          | 0.74   | 0.29   | 0.23   |
|Gl 604    |15 57 42.4|-42 37 18|  8.05 |K5 V      | 58.9          | 1.12   | 1.03   | 0.43   |
|Gl 683.1  |17 37 52.8|-42 33 44|  7.17 |G5 V      | 44.9          | 0.65   | 0.18   | 0.34   |
|Wo 9350   |11 09 40.2|-42 27 29|  9.74 |K1        | 40.5          | 0.78   | 0.35   |        |
|NN 4193   |21 26 12.2|-42 25 59| 12.67 |M7        | 49.0          | 1.53   |        | 1.09   |
|NN 4096   |19 08 50.3|-42 25 35|  7.88 |K1 V      | 43.0          | 0.86   | 0.53   |        |
|NN 3701   |12 03 38.4|-42 25 24|  5.15 |F6 V      | 37.1          | 0.41   |-0.03   |        |
|Gl 187.1  |05 04 04.6|-42 21 42| 10.04 |K0        | 52.1          | 0.74   | 0.20   | 0.40   |
|NN 3110   |01 42 52.6|-42 12 07| 11.25 |M0        | 40.0          |        |        | 0.78   |
|Gl 894    |23 17 36.3|-42 11 30| 10.38 |K3/5 V    | 61.6          | 1.32   | 1.25   | 0.58   |
|Wo 9713   |21 00 51.7|-42 01 38| 12.30 |K4        | 43.5          |        |        |        |
|NN 4036   |17 57 21.9|-41 59 19| 11.36 |M3        | 53.0          | 1.51   |        | 0.89   |
|Gl 32A    |00 45 47.1|-41 54 30|  8.41 |K5 V      | 81.4          | 1.17   | 1.14   | 0.49   |
|Gl 32B    |00 45 47.1|-41 54 30|  9.06 |K7 V      | 81.4          | 1.27   | 1.18   | 0.57   |
|Wo 9046   |01 14 25.8|-41 53 38|  8.47 |G0 V      | 42.0          | 0.56   | 0.08   |        |
|Gl 174.1B |04 40 34.4|-41 51 46| 12.50 |          | 44.8          |        |        |        |
|Gl 174.1A |04 40 34.4|-41 51 46|  4.44 |F2 V      | 44.8          | 0.34   | 0.01   | 0.20   |
|Gl 654.3  |17 08 07.7|-41 43 10|  8.29 |K5 V      | 55.0          | 1.05   | 0.90   | 0.40   |
|Gl 57     |01 21 29.2|-41 39 01| 10.14 |dM0.5     | 59.0          | 1.40   | 1.10   | 0.69   |
|Wo 9204   |06 11 29.5|-41 34 29|  9.29 |K2 V      | 27.0          | 0.95   | 0.68   | 0.35   |
|NN 4372   |23 54 03.6|-41 32 42| 13.30 |M4        | 39.0          |        |        | 1.07   |
|NN 4224AB |21 49 06.2|-41 32 00| 12.20 |M6        | 66.0          | 1.59   |        | 1.10   |
|NN 4353   |23 38 16.7|-41 30 59| 11.93 |M3        | 50.0          | 1.46   |        | 0.98   |
|Gl 77     |01 48 19.0|-41 29 47|  7.14 |G4 V      | 37.0          | 0.65   | 0.20   | 0.32   |
|Wo 9797   |22 50 11.9|-41 29 12|  7.77 |G5 V      | 33.0          | 0.74   | 0.24   | 0.26   |
|Wo 9333   |10 32 46.7|-41 27 53| 11.12 |          | 41.0          | 0.90   | 0.58   | 0.41   |
|Gl 851.2  |22 14 36.4|-41 22 17|  6.23 |G5 V      | 55.0          | 0.65   | 0.14   | 0.22   |
|GJ 1147   |11 38 31.0|-41 22 14| 13.79 |k         | 50.0          | 1.72   | 1.20   | 1.21   |
|GJ 1066   |03 56 36.2|-41 20 41|  8.94 |K4 V      | 53.0          | 1.21   | 1.14   | 0.50   |
|NN 3049   |00 43 27.9|-41 17 10| 13.10 |M4        |101.0          |        |        | 1.33   |
|Gl 588    |15 32 18.2|-41 15 44|  9.31 |M3        |165.1          | 1.52   | 1.11   | 1.05   |
|NN 3063   |00 52 26.7|-41 14 42| 11.92 |M3        | 42.0          | 1.49   |        | 0.90   |
|Gl 836.3  |21 42 09.3|-41 07 17|  8.82 |K5 V      | 45.0          | 1.04   | 0.90   | 0.42   |
|Gl 358    |09 39 49.2|-41 04 20| 10.75 |M3        | 97.6          | 1.53   | 1.17   | 1.07   |
|Gl 431    |11 31 49.3|-41 02 52| 11.52 |M3.5      | 94.3          | 1.54   | 0.97   | 1.16   |
|Gl 268.4  |07 15 57.8|-41 01 59|  9.09 |G3 V      | 45.5          | 0.66   | 0.10   | 0.35   |
|NN 4022   |17 42 44.7|-41 01 17| 12.55 |M3        | 54.0          |        |        | 1.10   |
|NN 3238   |03 36 07.7|-40 59 32| 13.05 |M3        | 42.0          |        |        | 1.09   |
|NN 4330   |23 18 09.6|-40 49 23|  5.53 |F5 V      | 39.0          | 0.44   |-0.05   |        |
|Gl 893.3B |23 16 46.0|-40 47 30| 17.40 |          | 48.3          |        |        |        |
|Gl 893.3A |23 16 45.0|-40 47 12| 11.57 |g-k       | 48.3          | 0.90   |        | 0.54   |
|Gl 374    |09 56 13.0|-40 47 11|  9.00 |K4 V      | 32.0          | 0.96   | 0.73   | 0.34   |
|Gl 161.2  |04 07 04.0|-40 45 26| 10.98 |k         | 19.0          | 1.13   |        | 0.62   |
|NN 4198   |21 30 45.1|-40 42 11| 13.19 |M3        | 62.0          | 1.62   | 1.12   | 1.25   |
|GJ 1001   |00 04 37.9|-40 41 06| 12.84 |M3.5      |104.2          | 1.63   | 1.30   | 1.23   |
|Wo 9259   |08 12 55.9|-40 32 06|  9.39 |G8 (IV)   | 41.7          | 0.82   | 0.43   | 0.41   |
|Gl 442A   |11 46 38.1|-40 30 22|  4.90 |G5 V      | 97.1          | 0.66   | 0.10   | 0.22   |
|Gl 442B   |11 46 39.1|-40 30 04| 15.00 |          | 97.1          |        |        |        |
|Gl 351A   |09 30 43.1|-40 28 03|  4.12 |F3 IV     | 64.2          | 0.36   |-0.03   | 0.22   |
|Gl 351B   |09 30 43.1|-40 28 03|  4.65 |F0 IV     | 64.2          |        |        |        |
|Gl 545.1  |14 21 26.2|-40 23 35|  9.02 |K3/4 V    | 47.0          | 1.10   | 1.05   | 0.47   |
|Wo 9726   |21 12 13.0|-40 15 57|  5.83 |F7 V      | 36.0          | 0.45   | 0.01   |        |
|Wo 9754   |21 48 00.0|-40 15 03|  8.62 |K3 V      | 39.0          | 0.97   | 0.77   | 0.36   |
|Gl 488.1  |12 53 26.4|-40 10 41|  4.26 |A7 III    | 54.1          | 0.21   | 0.12   | 0.13   |
|Gl 312    |08 37 21.1|-40 08 50|  6.54 |G4 IV-V   | 58.0          | 0.60   | 0.12   | 0.20   |
|NN 3764   |13 09 17.1|-40 08 17| 12.86 |M3.5      | 62.0          | 1.60   | 1.10   | 1.18   |
|NN 3222AB |03 23 35.1|-40 04 37|  6.92 |K0 V      | 69.0          |        |        |        |
|NN 3286   |04 25 01.3|-40 02 31| 14.10 |M3.5      | 60.0          |        |        | 1.33   |
|Gl 296    |08 00 00.1|-40 01 48|  9.66 |K7 V      | 53.0          | 1.34   | 1.21   | 0.59   |
|Gl 304    |08 21 29.5|-39 42 31|  7.17 |G6 V      | 59.4          | 0.71   | 0.29   | 0.35   |
|Gl 646B   |16 58 52.9|-39 33 43| 10.40 |          | 73.0          |        |        |        |
|Gl 646A   |16 58 52.9|-39 33 43|  8.50 |K5 V      | 73.0          | 1.16   | 1.08   | 0.64   |
|NN 4141   |20 15 56.8|-39 29 16|  7.77 |K1 V      | 47.0          | 0.86   |        |        |
|Wo 9037   |01 04 40.6|-39 28 50|  7.72 |G3 IV     | 42.1          | 0.60   |-0.03   | 0.22   |
|Gl 620.1B |16 23 33.3|-39 13 44| 11.00 |DA2       | 78.0          |-0.14   |-0.96   |        |
|Gl 620.1A |16 24 01.3|-39 11 36|  5.39 |G3/5 V    | 78.0          | 0.63   | 0.14   | 0.22   |
|NN 4377   |23 56 10.0|-39 03 00|  8.21 |K3 V      | 47.0          | 0.96   |        |        |
|NN 4104   |19 12 57.4|-39 02 05| 12.70 |M3        | 52.0          |        |        | 1.11   |
|NN 3154   |02 20 41.6|-39 02 00|  8.74 |K3/4 V    | 41.0          | 1.04   | 0.84   | 0.38   |
|Gl 629    |16 31 31.7|-39 00 30|  7.24 |K0 V      | 56.1          | 0.86   | 0.48   | 0.34   |
|NN 3176   |02 42 53.6|-38 56 05| 13.10 |M3.5      | 45.0          |        |        | 1.10   |
|Wo 9450   |13 34 31.0|-38 54 09|  7.29 |G4 V      | 35.0          | 0.67   | 0.16   | 0.18   |
|Gl 320    |08 43 18.9|-38 53 16|  6.56 |K1 V      | 95.9          | 0.93   | 0.66   | 0.30   |
|Gl 825    |21 17 29.2|-38 51 06|  6.67 |M0 Ve     |258.6          | 1.41   | 1.21   | 0.69   |
|NN 3207   |03 11 31.9|-38 47 09| 11.51 |M3.5      | 57.0          | 1.51   | 1.22   | 0.90   |
|Gl 732A   |18 53 40.8|-38 36 03| 12.70 |sdG0      | 75.2          | 1.53   | 1.12   | 1.23   |
|Gl 732B   |18 53 40.8|-38 36 03| 16.00 |          | 75.2          |        |        |        |
|NN 3737   |12 38 52.3|-38 21 23| 12.74 |M4        |139.0          | 1.69   | 1.25   | 1.38   |
|Gl 152    |03 44 08.0|-38 17 07|  6.99 |K0 V      | 61.0          | 0.88   | 0.58   | 0.28   |
|NN 4253   |22 05 52.4|-38 15 40| 12.45 |M3.5      | 49.0          |        |        | 1.02   |
|Gl 130    |03 12 24.8|-38 05 59| 11.46 |M3        | 60.0          | 1.56   | 1.22   | 0.90   |
|Gl 599B   |15 47 31.0|-37 54 50| 12.78 |DA7       | 73.5          | 0.33   |-0.42   |        |
|Gl 599A   |15 47 31.0|-37 54 50|  6.01 |G6 V      | 73.5          | 0.72   | 0.31   | 0.25   |
|Gl 590    |15 36 36.6|-37 53 17| 12.80 |M4        | 81.6          | 1.60   |        | 0.83   |
|Gl 683.2B |17 37 51.4|-37 51 32|  9.10 |          | 54.0          |        |        |        |
|Gl 683.2A |17 37 51.4|-37 51 32|  6.80 |G8 V      | 54.0          | 0.77   | 0.31   | 0.38   |
|Gl 744    |19 06 53.6|-37 48 19|  6.15 |G5 IV     | 61.2          | 0.71   | 0.27   | 0.35   |
|Gl 501.2  |13 12 04.4|-37 48 13|  4.85 |G3 V      | 57.1          | 0.70   | 0.31   | 0.24   |
|Gl 452.2A |11 54 27.2|-37 45 00|  6.75 |F7 V      | 28.0          | 0.52   |-0.04   | 0.30   |
|Gl 452.2B |11 54 27.2|-37 45 00|  8.10 |          | 28.0          |        |        |        |
|Gl 618B   |16 20 07.1|-37 32 34| 14.15 |M5  :     |130.0          | 1.79   |        | 1.59   |
|Gl 618A   |16 20 07.1|-37 32 34| 10.60 |M3        |130.0          | 1.57   | 1.21   | 1.08   |
|NN 4087   |18 55 17.7|-37 29 38|  8.11 |K1 V      | 41.0          | 0.88   | 0.47   | 0.34   |
|Gl 339.3  |09 15 45.1|-37 24 45|  4.62 |F5 III    | 62.5          | 0.45   | 0.10   |        |
|NN 3970   |16 42 46.7|-37 20 26|  7.13 |G8 V      | 50.0          | 0.77   |        |        |
|NN 3446   |07 30 42.7|-37 20 23|  6.64 |G4 V      | 44.0          | 0.63   |        |        |
|Gl 1      |00 05 00.9|-37 19 30|  8.54 |M4 V      |221.8          | 1.46   | 0.96   | 0.92   |
|NN 4388   |00 01 54.6|-37 13 48|  7.06 |K1 III    | 45.5          | 1.06   | 0.90   |        |
|Gl 176.1  |04 42 03.0|-37 08 52|  5.05 |F1 V      | 56.9          | 0.38   | 0.02   | 0.22   |
|NN 4248   |22 02 26.0|-37 04 42| 11.80 |M3.5      |100.0          | 1.65   | 1.36   | 1.17   |
|Gl 743.1A |19 06 24.3|-37 03 33|  4.87 |F8 V      | 68.0          | 0.52   | 0.00   | 0.29   |
|Gl 743.1B |19 06 24.3|-37 03 33|  5.00 |F8 V      | 68.0          |        |        |        |
|Gl 225.1  |05 59 55.3|-37 03 32|  8.60 |G5 V      | 46.9          | 0.63   | 0.05   | 0.34   |
|Gl 645    |16 56 46.2|-37 03 22| 11.44 |M1        | 59.6          | 1.51   |        | 1.12   |
|Gl 155.3  |03 53 21.8|-37 03 04| 12.14 |M2.5      | 51.7          | 1.45   | 1.04   | 0.93   |
|NN 3472   |07 58 38.0|-37 01 07|  7.00 |K0/1 V    | 84.0          | 0.98   | 0.69   | 0.38   |
|Wo 9029B  |00 47 30.6|-36 57 02| 15.50 |m         | 40.7          |        |        |        |
|NN 3081   |01 14 06.0|-36 57 02| 13.85 |dM2.5     | 43.0          | 1.66   | 1.34   | 1.19   |
|NN 3298   |04 33 09.0|-36 56 45|  8.79 |K3/5 V    | 41.0          | 0.99   | 0.84   | 0.40   |
|Wo 9029A  |00 47 31.6|-36 56 08|  7.85 |F7/8 V    | 40.7          | 0.54   |-0.03   | 0.21   |
|GJ 1135   |10 41 08.7|-36 53 36|  9.97 |M0 V      | 75.0          | 1.48   | 1.17   | 0.80   |
|Gl 874    |22 48 14.5|-36 47 08| 11.92 |M3        | 51.3          | 1.48   |        | 0.95   |
|GJ 1046   |02 19 04.3|-36 47 08| 11.62 |M3        | 66.0          | 1.50   | 1.17   | 1.01   |
|Gl 379.2  |10 09 50.6|-36 45 35|  8.08 |G3 V-VI   | 22.0          | 0.60   | 0.01   | 0.22   |
|GJ 1018   |00 42 17.8|-36 43 04| 12.65 |m         | 54.0          | 1.54   |        | 1.11   |
|Gl 508.1  |13 20 37.6|-36 42 37|  2.75 |A2 V      | 60.6          | 0.04   | 0.03   | 0.00   |
|GJ 1109   |08 18 33.8|-36 39 38|  4.45 |A7 III    | 55.8          | 0.22   | 0.11   |        |
|GJ 1136B  |10 41 52.0|-36 37 55| 11.67 |          | 56.0          | 1.52   | 1.11   | 0.96   |
|GJ 1136A  |10 41 52.0|-36 37 55| 10.19 |K7 V      | 56.0          | 1.46   | 1.19   | 0.73   |
|NN 4350   |23 36 47.1|-36 28 53| 13.72 |M4        | 81.0          | 1.62   | 1.36   | 1.36   |
|Gl 539    |14 06 43.2|-36 21 46|  2.06 |K0- IIIb  | 58.5          | 1.01   | 0.87   | 0.36   |
|Gl 218    |05 47 37.7|-36 19 38| 10.73 |M3        | 95.5          | 1.48   | 1.11   | 0.90   |
|NN 3177   |02 44 12.5|-36 18 27|  7.12 |G5 V      | 53.0          |        |        |        |
|NN 4271   |22 17 53.2|-36 10 52| 14.20 |          | 43.0          |        |        | 1.24   |
|Gl 783B   |20 11 10.0|-36 04 45| 11.50 |M3.5      |177.1          |        |        |        |
|Gl 783A   |20 11 10.0|-36 04 45|  5.32 |K3 V      |177.1          | 0.87   | 0.46   | 0.34   |
|Gl 702.1  |18 06 23.4|-36 01 09|  5.95 |G5 V      | 57.7          | 0.62   | 0.07   | 0.20   |
|Gl 118.1B |02 54 00.5|-35 54 44| 13.10 |M3 :      | 43.0          | 1.52   | 1.21   | 1.06   |
|Gl 118.1A |02 54 00.5|-35 54 08|  8.23 |K3 V      | 43.0          | 0.93   | 0.65   | 0.36   |
|NN 3489A  |08 16 12.7|-35 53 00|  7.20 |G8/K0 V   | 71.0          | 0.94   |        |        |
|NN 3490B  |08 16 12.7|-35 53 00| 11.00 |          | 71.0          |        |        |        |
|Gl 887    |23 05 24.5|-35 52 17|  7.34 |M2 Ve     |284.3          | 1.49   | 1.18   | 0.84   |
|Gl 379.1A |10 09 33.3|-35 51 28|  6.15 |F8 V      | 46.7          | 0.60   | 0.16   | 0.22   |
|Gl 379.1B |10 09 33.3|-35 51 28| 10.90 |          | 46.7          |        |        |        |
|NN 3588   |10 13 04.0|-35 44 41| 12.95 |M3.5      | 45.0          |        |        | 1.08   |
|GJ 1036   |01 17 15.0|-35 42 48| 11.42 |m         | 63.0          | 1.53   | 1.19   | 0.96   |
|NN 3806A  |13 48 57.4|-35 42 06|  6.57 |G3 IV-V   | 34.0          | 0.55   | 0.05   | 0.19   |
|NN 3807B  |13 48 57.4|-35 42 06| 10.14 |K4 :      | 34.0          | 1.23   | 1.22   | 0.52   |
|NN 3300   |04 34 39.1|-35 39 15|  7.58 |G8 V      | 43.0          | 0.81   |        |        |
|Gl 255A   |06 57 17.6|-35 30 28|  6.91 |F8 IV-V   | 68.4          | 0.46   |-0.06   | 0.26   |
|Gl 255B   |06 57 17.6|-35 30 28|  7.10 |F8 IV-V   | 68.4          |        |        |        |
|GJ 1239   |19 32 31.8|-35 27 15|  8.71 |K5 V      | 50.0          | 1.11   | 0.98   | 0.43   |
|Wo 9787   |22 33 29.7|-35 26 36|  7.79 |G8 V      | 43.8          | 0.72   | 0.29   |        |
|NN 3319   |04 54 03.2|-35 24 24|  7.60 |K0 V      | 43.0          | 0.77   |        |        |
|NN 3777   |13 20 06.7|-35 23 44| 12.80 |M3.5      | 57.0          |        |        | 1.14   |
|NN 3687   |11 48 04.1|-35 13 29|  7.09 |G5/6 V    | 49.0          | 0.77   | 0.23   |        |
|NN 3013   |00 11 43.6|-35 08 07|  5.25 |F4 V      | 44.0          | 0.44   |        |        |
|NN 3317   |04 49 52.9|-35 06 24|  7.45 |K2 V      | 60.0          | 0.90   |        |        |
|Gl 667C   |17 18 53.7|-34 59 36| 10.24 |M2.5      |140.0          | 1.57   | 1.16   | 0.96   |
|Gl 667B   |17 18 52.7|-34 59 18|  7.20 |K5 V      |140.0          |        |        |        |
|Gl 667A   |17 18 52.7|-34 59 18|  6.29 |K3 V      |140.0          | 1.04   | 0.82   | 0.42   |
|Gl 755    |19 21 29.8|-34 58 54|  6.48 |G5 V      | 48.0          | 0.62   | 0.19   | 0.22   |
|Wo 9247   |07 58 38.2|-34 56 54|  7.95 |G6 V      | 41.8          | 0.74   | 0.25   |        |
|GJ 1161B  |12 35 38.7|-34 54 13| 11.91 |          | 62.0          | 1.60   | 1.28   | 1.01   |
|GJ 1161A  |12 35 34.7|-34 52 49|  7.91 |K4 V      | 62.0          | 1.04   | 0.83   | 0.40   |
|Gl 886.2  |23 03 29.4|-34 45 01|  5.11 |F0 IV     | 50.2          | 0.29   | 0.00   | 0.19   |
|Gl 292B   |07 52 16.9|-34 42 30|  8.60 |K3        | 69.9          |        |        |        |
|Gl 292A   |07 52 16.9|-34 42 30|  5.05 |F5 V      | 69.9          | 0.44   |-0.06   | 0.16   |
|GJ 2133   |17 54 08.0|-34 39 33| 13.52 |k         | 56.0          | 1.64   |        |        |
|Gl 454.2B |12 01 46.9|-34 39 00|  8.10 |          | 27.0          |        |        |        |
|Gl 454.2A |12 01 46.9|-34 39 00|  7.35 |G0 V    J | 27.0          | 0.59   | 0.08   | 0.30   |
|Gl 105.1  |02 36 58.7|-34 34 31|  5.78 |G5 IV     | 55.2          | 0.65   | 0.20   | 0.21   |
|GJ 1175   |13 41 03.0|-34 27 45|  6.98 |K1 V      | 60.0          | 0.86   | 0.45   | 0.28   |
|NN 3001   |00 02 39.5|-34 13 00| 14.90 |DC9       | 75.2          | 0.46   |-0.44   |        |
|Gl 288A   |07 45 36.1|-34 11 46|  5.36 |G0 V      | 62.5          | 0.59   |-0.06   | 0.23   |
|GJ 1050   |02 39 48.7|-34 06 39| 11.75 |m         | 66.0          | 1.52   | 1.09   | 1.04   |
|NN 4387   |23 59 48.1|-34 06 12| 12.80 |M4        | 78.0          |        |        | 1.22   |
|Gl 695.1  |17 47 57.8|-34 00 42|  7.19 |G8 V      | 49.3          | 0.71   | 0.33   | 0.24   |
|Gl 534.3  |13 58 38.7|-33 59 46|  8.17 |G5 V      | 24.0          | 0.68   | 0.16   | 0.24   |
|GJ 1106   |07 57 48.6|-33 57 21|  8.84 |K5 V      | 53.0          | 1.16   | 1.02   | 0.46   |
|Gl 288B   |07 45 44.5|-33 56 35| 16.59 |m         | 62.5          | 1.20   |        | 0.57   |
|Gl 773.4  |20 00 19.6|-33 42 02|  5.66 |F8 V      | 51.6          | 0.49   |-0.02   | 0.15   |
|NN 4207   |21 38 37.9|-33 39 14| 12.57 |M2        | 57.0          | 1.62   | 1.33   | 1.18   |
|GJ 1016   |00 41 30.9|-33 37 27| 10.60 |k         | 45.0          | 1.40   | 1.17   | 0.70   |
|NN 4172   |20 59 28.6|-33 36 54|  7.35 |K0 V      | 52.0          | 0.84   | 0.49   |        |
|GJ 1137   |10 44 21.2|-33 34 29|  8.30 |K2 V      | 44.0          | 0.95   | 0.72   | 0.37   |
|NN 3187   |02 52 17.6|-33 27 03|  8.09 |K1 V      | 38.0          | 0.84   | 1.93   | 0.30   |
|GJ 2004   |00 23 15.6|-33 10 10|  8.75 |K3/4 V    | 43.0          | 1.07   | 0.90   | 0.39   |
|Gl 525.1  |13 45 42.8|-33 02 30|  4.23 |F3 IV     | 47.0          | 0.38   |-0.00   | 0.22   |
|Gl 385.1  |10 13 26.2|-33 02 00|  6.38 |G1 V      | 53.7          | 0.59   | 0.09   | 0.20   |
|NN 3702   |12 04 01.3|-33 01 30| 14.00 |M4.5      | 62.0          |        |        | 1.30   |
|Gl 318    |08 41 36.7|-32 57 40| 11.88 |DA6       |112.3          | 0.22   |-0.59   | 0.04   |
|Wo 9800A  |22 52 31.6|-32 52 32|  4.50 |A0 III    | 42.4          |-0.04   |-0.14   |        |
|Wo 9800B  |22 52 31.6|-32 52 32|  8.60 |          | 42.4          |        |        |        |
|Wo 9543C  |16 05 40.4|-32 51 36| 11.10 |K5        | 41.0          |        |        |        |
|Wo 9543A  |16 05 40.4|-32 51 36|  8.34 |G9 V      | 41.0          | 0.82   | 0.38   |        |
|Wo 9543B  |16 05 40.4|-32 51 36|  9.00 |K1 V      | 41.0          |        |        |        |
|GJ 1038   |01 25 01.2|-32 51 12|  9.80 |k-m       | 59.0          | 1.45   | 1.15   | 0.65   |
|Gl 432B   |11 34 32.8|-32 50 42| 15.00 |m         |101.7          |        |        |        |
|Gl 432A   |11 34 31.8|-32 50 36|  5.98 |K0 V      |101.7          | 0.81   | 0.39   | 0.29   |
|Gl 902.1  |23 39 50.8|-32 44 22|  7.19 |K1 V      | 53.0          | 0.81   | 0.42   | 0.28   |
|Gl 849.1  |22 10 06.8|-32 32 56|  4.92 |F6 V      | 59.0          | 0.48   | 0.01   | 0.26   |
|Wo 9821   |23 18 49.7|-32 31 53|  4.41 |G8 III    | 42.1          | 1.13   | 1.06   |        |
|Gl 433    |11 35 27.0|-32 31 42|  9.83 |M2 V      | 90.5          | 1.51   | 1.17   | 0.90   |
|Wo 9714   |21 01 39.0|-32 31 23|  9.40 |K5 V      | 48.0          | 1.24   | 1.21   | 0.54   |
|GJ 1079   |05 26 13.6|-32 30 11|  7.74 |K2/3 V    | 55.0          | 0.94   | 0.68   | 0.35   |
|NN 4242A  |21 58 51.6|-32 27 56| 14.65 |m         | 42.0          |        |        | 1.25   |
|NN 4243B  |21 58 50.5|-32 26 08| 15.80 |m         | 42.0          |        |        | 1.50   |
|Gl 799A   |20 41 50.4|-32 25 51| 10.99 |dM4.5e    |122.8          | 1.57   | 0.88   | 1.33   |
|Gl 799B   |20 41 50.4|-32 25 51| 11.00 |dM4.5e    |122.8          |        |        |        |
|GJ 1177A  |13 47 41.7|-32 25 51|  8.94 |K5 V      | 69.0          | 1.32   | 1.22   | 0.57   |
|GJ 1177B  |13 47 42.7|-32 25 51|  9.12 |          | 69.0          | 1.36   | 1.24   | 0.60   |
|NN 3074   |01 07 13.6|-32 25 35| 10.76 |m         | 42.0          | 1.38   | 1.22   | 0.70   |
|Gl 672.1  |17 23 50.3|-32 14 33| 11.64 |M2        | 48.4          | 1.50   |        | 0.87   |
|GJ 1126A  |09 30 28.2|-32 06 26|  8.38 |K3 V      | 45.0          | 0.98   | 0.69   | 0.42   |
|GJ 1126B  |09 30 28.2|-32 06 26| 13.08 |g         | 45.0          | 1.46   | 0.97   | 1.10   |
|Gl 91     |02 13 50.8|-32 02 01| 10.32 |M2.5      |108.5          | 1.50   | 1.11   | 0.94   |
|Gl 869    |22 40 54.2|-31 59 25|  7.39 |G8 V      | 43.0          | 0.80   | 0.44   | 0.25   |
|Gl 245.1  |06 45 24.1|-31 47 19|  5.92 |F6 V      | 41.0          | 0.49   |-0.04   | 0.28   |
|GJ 1130B  |09 53 29.0|-31 45 05| 14.42 |          | 50.0          | 1.70   |        | 1.30   |
|GJ 1130A  |09 53 29.0|-31 45 05| 10.21 |M0 V      | 50.0          | 1.38   | 1.15   | 0.68   |
|Gl 781.1A |20 07 47.1|-31 44 51| 12.25 |M3        | 50.7          | 1.55   | 1.11   | 1.06   |
|Gl 781.1B |20 07 44.1|-31 44 34| 12.50 |M3.5      | 50.7          | 1.63   | 1.07   | 1.18   |
|NN 4131   |20 04 05.4|-31 41 11| 14.50 |m         | 50.0          |        |        | 1.31   |
|Gl 879    |22 56 22.3|-31 33 46|  6.48 |K5 Ve     |128.1          | 1.10   | 1.02   | 0.41   |
|Gl 309    |08 32 55.6|-31 30 41|  6.39 |K0 V      | 82.3          | 0.78   | 0.32   | 0.28   |
|GJ 1009   |00 21 57.1|-31 24 22| 11.16 |dM2       | 69.0          | 1.48   | 1.08   | 0.96   |
|NN 3692   |11 53 17.3|-31 23 48| 13.61 |M4        | 60.0          | 1.70   | 1.11   | 1.24   |
|GJ 1246   |19 56 35.5|-31 20 10|  8.43 |K4 V      | 46.0          | 0.98   |        |        |
|Gl 803    |20 45 08.6|-31 20 10|  8.81 |M0 Ve     |106.9          | 1.42   | 0.95   | 0.85   |
|NN 3341   |05 15 44.9|-31 17 56| 12.15 |m         | 48.0          |        |        | 0.99   |
|GJ 1118   |08 59 03.0|-31 12 43| 13.80 |k-m       | 62.0          | 1.64   | 1.20   | 1.29   |
|NN 3786   |13 27 21.5|-31 10 33| 13.60 |M4        | 60.0          |        |        | 1.25   |
|Wo 9340   |10 54 12.2|-31 09 18|  8.35 |G2 V      | 41.7          | 0.60   | 0.02   | 0.22   |
|NN 3634   |10 58 36.9|-31 08 35| 11.95 |m         | 56.0          |        |        | 1.01   |
|Gl 225.2C |06 00 21.5|-31 02 09|  8.30 |K5 V      | 66.0          |        |        |        |
|Gl 225.2B |06 00 21.5|-31 02 09|  9.10 |          | 66.0          |        |        |        |
